iter	RMSE
0	0.0173784789
1	0.01722682348
2	0.01710129798
3	0.01697759784
4	0.01684019806
5	0.01669423868
6	0.01660195919
7	0.01649029876
8	0.01635045896
9	0.01620750928
10	0.01606142709
11	0.01595800999
12	0.01580719235
13	0.01566502186
14	0.01553147476
15	0.01543641744
16	0.01534891503
17	0.01524514352
18	0.01511205888
19	0.0150117666
20	0.01489161483
21	0.01475788403
22	0.01466471641
23	0.0145643613
24	0.01445833752
25	0.0143439806
26	0.0142310652
27	0.01414197381
28	0.01405462547
29	0.01397114607
30	0.01390564082
31	0.0138055342
32	0.01372337739
33	0.01361279562
34	0.0135299647
35	0.0134280766
36	0.01334837685
37	0.01324636417
38	0.01318037686
39	0.01309448183
40	0.01299358682
41	0.01291072046
42	0.01283505547
43	0.01275705115
44	0.01267732062
45	0.01262266587
46	0.01254283791
47	0.0124773638
48	0.0123797723
49	0.01230954207
50	0.0122080424
51	0.01213662753
52	0.01206069568
53	0.01195160076
54	0.0118460661
55	0.01174588747
56	0.01167531628
57	0.01159187387
58	0.01151382573
59	0.01143903431
60	0.01137002961
61	0.01128934031
62	0.01124375158
63	0.01117352807
64	0.0111133429
65	0.01103621134
66	0.0109697663
67	0.0109109102
68	0.0108536077
69	0.01078625757
70	0.01071790317
71	0.01065269143
72	0.01058834392
73	0.01052826773
74	0.01044859649
75	0.01039262392
76	0.01031203954
77	0.01023078368
78	0.01014813114
79	0.01009233662
80	0.01004039593
81	0.009973438407
82	0.009894323588
83	0.009829354748
84	0.009751749585
85	0.009698776202
86	0.009634766975
87	0.009573216424
88	0.009526431254
89	0.009473663299
90	0.009412861141
91	0.009345557078
92	0.009287544132
93	0.009237935665
94	0.009185173283
95	0.009137805459
96	0.009079563383
97	0.009022291422
98	0.008970059112
99	0.008916324558
100	0.008858954013
101	0.008803751654
102	0.008753408883
103	0.008707361978
104	0.008659199155
105	0.008606717447
106	0.008548769055
107	0.008497214388
108	0.008441821571
109	0.008401174018
110	0.008360403019
111	0.008315996741
112	0.008266508122
113	0.00818953095
114	0.008145080494
115	0.008097831861
116	0.008032566131
117	0.007988410038
118	0.007941085532
119	0.007896283338
120	0.007845674755
121	0.007800908334
122	0.007751978738
123	0.007708782808
124	0.007663769078
125	0.007624137659
126	0.00758052718
127	0.007535762629
128	0.007491755194
129	0.007451620193
130	0.007391283262
131	0.007351712368
132	0.00731194337
133	0.007269083211
134	0.007227634245
135	0.007185391803
136	0.007127180887
137	0.007086939538
138	0.007047410616
139	0.007008785768
140	0.006957046864
141	0.006920172278
142	0.006867628493
143	0.006826556813
144	0.006766377717
145	0.006732366001
146	0.006689898011
147	0.00664051887
148	0.00660634339
149	0.006569147795
150	0.00653037206
151	0.006471966595
152	0.006421000549
153	0.006379938207
154	0.00634197874
155	0.006298328263
156	0.006248696663
157	0.006218372407
158	0.006185442078
159	0.006144957846
160	0.006108439256
161	0.006078176618
162	0.006039565245
163	0.00600569662
164	0.005966912468
165	0.005935322617
166	0.005891960301
167	0.005867343832
168	0.005835635075
169	0.005797102237
170	0.005760149095
171	0.005729831687
172	0.005701997622
173	0.005659392019
174	0.005631883882
175	0.005605913032
176	0.005560854183
177	0.005534452274
178	0.005504948235
179	0.005474734629
180	0.005448477447
181	0.005413030994
182	0.005386381612
183	0.005358412579
184	0.005325204337
185	0.005297041668
186	0.005269583206
187	0.005241698588
188	0.005216831698
189	0.005190184663
190	0.0051632237
191	0.005135292228
192	0.005089020269
193	0.005058859443
194	0.005033021739
195	0.005006167999
196	0.004948899048
197	0.004922591615
198	0.004896060148
199	0.004867639717
200	0.004836304952
201	0.004808186217
202	0.004767664502
203	0.004743531175
204	0.004715679491
205	0.004690638475
206	0.004659123004
207	0.004626837053
208	0.004597520999
209	0.00455973652
210	0.004524824547
211	0.004498126898
212	0.00446946486
213	0.004443961718
214	0.004411928386
215	0.004381455005
216	0.004353312053
217	0.004328596696
218	0.004305947479
219	0.004269568987
220	0.004243521741
221	0.004216283343
222	0.004191393705
223	0.004167204502
224	0.004127201537
225	0.004099990626
226	0.004076453179
227	0.004049897828
228	0.004026676668
229	0.00400014903
230	0.003975212648
231	0.003952552495
232	0.003928002108
233	0.003905367357
234	0.00388033337
235	0.003856163608
236	0.003831112292
237	0.003802616663
238	0.003780836967
239	0.003757243117
240	0.00373561304
241	0.003712411297
242	0.003689507294
243	0.003666765666
